#--- Experiment --------------------------------------------------------------------------																									
#NB-312-Ch2-3																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com																									
#ZAFFUJITSU019																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	01.01.2001	10.09.2025	7.054000	49.763000	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	992.982000	24.714000	100.000000	23.517000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%O2) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
09-10-2025	21:34:12.052	0.708	0.004861	49.673000	318	0	OK	09-10-2025	21:34:12.052	0.708	23.229	OK	09-10-2025	21:34:12.052	0.708	1005	OK	09-10-2025	21:34:11.369	0.025	23.219	OK			
09-10-2025	21:34:13.051	1.707	0.004480	49.681000	319	0	OK	09-10-2025	21:34:13.051	1.707	23.242	OK	09-10-2025	21:34:13.051	1.707	1005	OK	09-10-2025	21:34:12.375	1.031	23.232	OK			
09-10-2025	21:34:14.054	2.710	0.004919	49.671001	319	0	OK	09-10-2025	21:34:14.054	2.710	23.235	OK	09-10-2025	21:34:14.054	2.710	1005	OK	09-10-2025	21:34:13.371	2.027	23.239	OK			
09-10-2025	21:34:15.054	3.710	0.005034	49.668999	319	0	OK	09-10-2025	21:34:15.054	3.710	23.227	OK	09-10-2025	21:34:15.054	3.710	1005	OK	09-10-2025	21:34:14.372	3.028	23.232	OK			
09-10-2025	21:34:16.056	4.711	0.005080	49.668999	319	0	OK	09-10-2025	21:34:16.056	4.711	23.216	OK	09-10-2025	21:34:16.056	4.711	1005	OK	09-10-2025	21:34:15.372	4.028	23.222	OK			
09-10-2025	21:34:17.054	5.710	0.005141	49.667000	319	0	OK	09-10-2025	21:34:17.054	5.710	23.221	OK	09-10-2025	21:34:17.054	5.710	1005	OK	09-10-2025	21:34:16.373	5.028	23.216	OK			
09-10-2025	21:34:18.056	6.712	0.004903	49.673000	319	0	OK	09-10-2025	21:34:18.056	6.712	23.219	OK	09-10-2025	21:34:18.056	6.712	1005	OK	09-10-2025	21:34:17.373	6.029	23.218	OK			
09-10-2025	21:34:19.055	7.711	0.005121	49.667999	319	0	OK	09-10-2025	21:34:19.055	7.711	23.216	OK	09-10-2025	21:34:19.055	7.711	1005	OK	09-10-2025	21:34:18.371	7.027	23.217	OK			
09-10-2025	21:34:20.053	8.709	0.004981	49.671001	319	0	OK	09-10-2025	21:34:20.053	8.709	23.220	OK	09-10-2025	21:34:20.053	8.709	1005	OK	09-10-2025	21:34:19.372	8.028	23.213	OK			
09-10-2025	21:34:21.054	9.710	0.005194	49.666000	319	0	OK	09-10-2025	21:34:21.054	9.710	23.218	OK	09-10-2025	21:34:21.054	9.710	1005	OK	09-10-2025	21:34:20.373	9.029	23.217	OK			
09-10-2025	21:34:22.055	10.711	0.005006	49.669998	319	0	OK	09-10-2025	21:34:22.055	10.711	23.224	OK	09-10-2025	21:34:22.055	10.711	1005	OK	09-10-2025	21:34:21.375	10.030	23.222	OK			
09-10-2025	21:34:23.052	11.708	0.004997	49.669998	318	0	OK	09-10-2025	21:34:23.052	11.708	23.226	OK	09-10-2025	21:34:23.052	11.708	1005	OK	09-10-2025	21:34:22.377	11.033	23.226	OK			
09-10-2025	21:34:24.055	12.711	0.004978	49.672001	319	0	OK	09-10-2025	21:34:24.055	12.711	23.211	OK	09-10-2025	21:34:24.055	12.711	1005	OK	09-10-2025	21:34:23.378	12.034	23.219	OK			
