#--- Experiment --------------------------------------------------------------------------																									
#NB-344-Ch2-3																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	11/06/2025	11/06/2025	6.966	49.315	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	1001.722	24.868	100.000	24.189	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-11-2025	21:58:42.912	0.284	0.665258	48.595001	347	1	OK	11-11-2025	21:58:42.912	0.284	20.170	OK	11-11-2025	21:58:42.912	0.284	996	OK	11-11-2025	21:58:43.657	1.029	20.177	OK			
11-11-2025	21:58:43.912	1.284	0.672376	48.582001	347	1	OK	11-11-2025	21:58:43.912	1.284	20.180	OK	11-11-2025	21:58:43.912	1.284	996	OK	11-11-2025	21:58:44.658	2.030	20.180	OK			
11-11-2025	21:58:44.916	2.289	0.673199	48.580002	347	0	OK	11-11-2025	21:58:44.916	2.289	20.185	OK	11-11-2025	21:58:44.916	2.289	996	OK	11-11-2025	21:58:45.656	3.029	20.187	OK			
11-11-2025	21:58:45.914	3.287	0.674943	48.577000	347	0	OK	11-11-2025	21:58:45.914	3.287	20.186	OK	11-11-2025	21:58:45.914	3.287	996	OK	11-11-2025	21:58:46.657	4.029	20.186	OK			
11-11-2025	21:58:46.916	4.288	0.673437	48.580002	347	0	OK	11-11-2025	21:58:46.916	4.288	20.182	OK	11-11-2025	21:58:46.916	4.288	996	OK	11-11-2025	21:58:47.659	5.031	20.173	OK			
11-11-2025	21:58:47.915	5.287	0.676419	48.576000	347	0	OK	11-11-2025	21:58:47.915	5.287	20.175	OK	11-11-2025	21:58:47.915	5.287	996	OK	11-11-2025	21:58:48.660	6.032	20.175	OK			
11-11-2025	21:58:48.915	6.287	0.678775	48.571999	347	0	OK	11-11-2025	21:58:48.915	6.287	20.176	OK	11-11-2025	21:58:48.915	6.287	996	OK	11-11-2025	21:58:49.671	7.043	20.176	OK			
11-11-2025	21:58:49.919	7.291	0.681496	48.567001	347	0	OK	11-11-2025	21:58:49.919	7.291	20.180	OK	11-11-2025	21:58:49.919	7.291	996	OK	11-11-2025	21:58:50.678	8.051	20.186	OK			
11-11-2025	21:58:50.932	8.304	0.675475	48.576000	347	0	OK	11-11-2025	21:58:50.932	8.304	20.187	OK	11-11-2025	21:58:50.932	8.304	996	OK	11-11-2025	21:58:51.693	9.065	20.186	OK			
11-11-2025	21:58:51.943	9.315	0.675552	48.576000	347	0	OK	11-11-2025	21:58:51.943	9.315	20.186	OK	11-11-2025	21:58:51.943	9.315	996	OK	11-11-2025	21:58:52.709	10.081	20.184	OK			
11-11-2025	21:58:52.945	10.317	0.677985	48.571999	347	0	OK	11-11-2025	21:58:52.945	10.317	20.186	OK	11-11-2025	21:58:52.945	10.317	996	OK	11-11-2025	21:58:53.724	11.097	20.182	OK			
11-11-2025	21:58:53.958	11.330	0.681419	48.567001	347	0	OK	11-11-2025	21:58:53.958	11.330	20.181	OK	11-11-2025	21:58:53.958	11.330	996	OK	11-11-2025	21:58:54.741	12.113	20.179	OK			
11-11-2025	21:58:54.959	12.331	0.689039	48.555000	347	0	OK	11-11-2025	21:58:54.959	12.331	20.177	OK	11-11-2025	21:58:54.959	12.331	996	OK	11-11-2025	21:58:55.740	13.113	20.178	OK			
