#--- Experiment --------------------------------------------------------------------------																									
#NB-362-Ch2-2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	01/01/2001	10/09/2025	7.054	49.763	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	992.982	24.714	100.000	23.517	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%O2) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
25-11-2025	18:58:59.299	0.646	0.014733	49.599998	325	0	OK	25-11-2025	18:58:59.299	0.646	21.674	OK	25-11-2025	18:58:59.299	0.646	986	OK	25-11-2025	18:58:58.669	0.016	21.676	OK			
25-11-2025	18:59:00.310	1.657	0.015196	49.590000	325	0	OK	25-11-2025	18:59:00.310	1.657	21.666	OK	25-11-2025	18:59:00.310	1.657	986	OK	25-11-2025	18:58:59.670	1.017	21.670	OK			
25-11-2025	18:59:01.327	2.673	0.014678	49.602001	325	0	OK	25-11-2025	18:59:01.327	2.673	21.667	OK	25-11-2025	18:59:01.327	2.673	986	OK	25-11-2025	18:59:00.686	2.033	21.668	OK			
25-11-2025	18:59:02.333	3.680	0.014708	49.601002	325	1	OK	25-11-2025	18:59:02.333	3.680	21.670	OK	25-11-2025	18:59:02.333	3.680	986	OK	25-11-2025	18:59:01.696	3.042	21.670	OK			
25-11-2025	18:59:03.334	4.681	0.014977	49.594002	325	0	OK	25-11-2025	18:59:03.334	4.681	21.677	OK	25-11-2025	18:59:03.334	4.681	986	OK	25-11-2025	18:59:02.701	4.048	21.673	OK			
25-11-2025	18:59:04.340	5.687	0.015058	49.591999	325	0	OK	25-11-2025	18:59:04.340	5.687	21.678	OK	25-11-2025	18:59:04.340	5.687	986	OK	25-11-2025	18:59:03.708	5.055	21.677	OK			
25-11-2025	18:59:05.349	6.696	0.014656	49.601002	325	0	OK	25-11-2025	18:59:05.349	6.696	21.682	OK	25-11-2025	18:59:05.349	6.696	986	OK	25-11-2025	18:59:04.711	6.058	21.683	OK			
25-11-2025	18:59:06.364	7.711	0.014642	49.601002	325	0	OK	25-11-2025	18:59:06.364	7.711	21.685	OK	25-11-2025	18:59:06.364	7.711	986	OK	25-11-2025	18:59:05.720	7.067	21.679	OK			
25-11-2025	18:59:07.364	8.711	0.014757	49.598000	325	0	OK	25-11-2025	18:59:07.364	8.711	21.688	OK	25-11-2025	18:59:07.364	8.711	986	OK	25-11-2025	18:59:06.726	8.073	21.684	OK			
25-11-2025	18:59:08.380	9.727	0.014842	49.596001	325	0	OK	25-11-2025	18:59:08.380	9.727	21.688	OK	25-11-2025	18:59:08.380	9.727	986	OK	25-11-2025	18:59:07.739	9.086	21.687	OK			
25-11-2025	18:59:09.392	10.738	0.014913	49.595001	325	0	OK	25-11-2025	18:59:09.392	10.738	21.682	OK	25-11-2025	18:59:09.392	10.738	986	OK	25-11-2025	18:59:08.752	10.099	21.685	OK			
25-11-2025	18:59:10.393	11.740	0.014457	49.605999	325	1	OK	25-11-2025	18:59:10.393	11.740	21.678	OK	25-11-2025	18:59:10.393	11.740	986	OK	25-11-2025	18:59:09.766	11.113	21.679	OK			
25-11-2025	18:59:11.398	12.745	0.015137	49.590000	325	0	OK	25-11-2025	18:59:11.398	12.745	21.679	OK	25-11-2025	18:59:11.398	12.745	986	OK	25-11-2025	18:59:10.781	12.128	21.678	OK			
